record_id,fname,lname,stNo,add1,add2,city,areacode,state,dob,ssn
rec-7880-org, liam, berry, 12, learmonth drive, lynden park stud, broken hill, 6014, vic, 19271005, 5315721
rec-54255-org, felicity, stephenson, 11, , the rookery, duncraig, 3012, qld, 19531111, 3765432
rec-24540-org, bethany, tu, 8, antill street, longstay caravn park, upper brookfield, 4211, tas, 19781230, 1345472
rec-61144-org, anita, lutz, 9, adinda street, brentwood village, bokarina, 3806, qld, 19021023, 9192121
rec-76431-org, amber, white, 41, oxley street, quarter deck, toowoomba, 4169, vic, 19351010, 1468300
rec-96533-org, michael, webb, 2, lyster place, , glenella, 2572, sa, 19210224, 8072876
rec-54907-org, mikaela, wiseman, 71, littler place, killarney park, morphettville, 2774, nsw, 19351117, 9810844
rec-95638-org, ryley, george, 10, araluen street, hopefield, alice springs, 5043, vic, 19341223, 1186509
rec-33506-org, isabelle, coffey, 3, michie street, tathra, chisholm, 4216, qld, , 7934987
rec-26532-org, danielle, pettingill, 5, narrabundah lane, ash-mere, wy yung, 2074, , 19201019, 4108963
rec-10498-org, isabella, green, 10, duffy street, main beach medical centre, ringwood, 2193, qld, 19520908, 6225674
rec-49329-org, rhiannon, povey, 57, william hudson crescent, boxgrove, oyster bay, 3168, vic, 19080905, 7333825
rec-43003-org, damien, ryan, 35, newman morris circuit, rosetta village, labrador, 6306, vic, 19010513, 8740643
rec-91840-org, emma, tomney, 37, mindarie street, winchester, mount gravatt, 2036, vic, 19870723, 7832208
rec-7682-org, hayden, ludgate, 3, hoddle garden, , burwood, 7470, nsw, 19290514, 5068436
rec-106-dup-2, savannah, kwoun, 1, ballumbir estreet, craigie-lea, culburra, 4304, vic, 19170126, 9299364
rec-49446-org, cade, pontifex, 12, lampard circuit, , wantirna, 2097, nsw, 19760302, 9825269
rec-80263-org, alana, netherton, 67, mcdowall place, crookhorn, preston west, 2647, vic, 19490228, 3514390
rec-63408-dup-0, alexandra, coffey, 5, armstrong crescent, , lobethal, 2046, qld, 19900902, 1567831
rec-24554-org, sean, hearn, 19, faunce crescent, the villas north, woy woy, 2077, qld, 19611014, 2059899
rec-85560-org, tegan, vaccaro, 8, lloyd place, kularoo garden, flinders park, 4129, vic, 19180509, 5768359
rec-6503-org, tuscany, renfrey, 1, jennings street, wangrah, yarrawonga, 2195, nsw, 19301003, 6663064
rec-52068-org, molly, dakis, 8, walu street, sec 209 clifton farm, willagee, 2118, vic, 19200129, 4940691
rec-39100-org, emiily, crosswell, 25, roope close, unt 1, yorkeys knob, 4570, wa, 19521227, 5399048
rec-22187-org, emma, gloster, 4, latchford street, wanniassa medical centre, manly vale, 2304, wa, 19860318, 1017830
rec-13256-org, daniel, moody, 5, freda bennett circuit, kookaburra village, burpengary, 4520, nsw, 19541216, 3177458
rec-60012-org, stirling, tebb, 1, bushby close, woolen park, campbelltown, 3130, wa, 19210622, 7621409
rec-75424-org, sebastian, trainor, 15, cobby street, murrumbar, granville, 2762, qld, 19520705, 5300531
rec-84151-org, erin, powdith, 180, maribyrnong avenue, , north hobart, 4510, vic, 19240923, 9113603
rec-49108-org, danjel, wilkins, 34, monaro crescent, gairdner road, windsor, 3936, nsw, 19710316, 2007728
rec-93686-org, blake, morrison, 6, tristania street, gracemere grdns, taringa, 4470, nsw, 19761118, 2109028
